word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
Sport machen,to do exercise / sport,DE,health_lifestyle,healthy_living,verb_phrase,KS3,Ich mache dreimal pro Woche Sport.,I do exercise three times a week.,,,Sport machen,,
genug schlafen,to sleep enough,DE,health_lifestyle,healthy_living,verb_phrase,KS3,"Es ist wichtig, genug zu schlafen.",It's important to sleep enough.,,,genug schlafen,,
Hände waschen,to wash hands,DE,health_lifestyle,healthy_living,verb_phrase,KS3,"Man muss Hände waschen, bevor man isst.",You have to wash your hands before eating.,,,Hände waschen,,
duschen,to shower,DE,health_lifestyle,healthy_living,verb,KS3,Ich dusche am Morgen.,I shower in the morning.,,,duschen,,
Zähne putzen,to brush teeth,DE,health_lifestyle,healthy_living,verb_phrase,KS3,Putz dir zweimal täglich die Zähne.,Brush your teeth twice a day.,,,Zähne putzen,,
der Stress,stress,DE,health_lifestyle,healthy_living,noun,KS3,Stress ist nicht gut für dich.,Stress is not good for you.,m,der,Stress,,
das Obst,fruit,DE,health_lifestyle,healthy_living,noun,KS3,Ich liebe frisches Obst.,I love fresh fruit.,n,das,Obst,,
das Gemüse,vegetable,DE,health_lifestyle,healthy_living,noun,KS3,Iss mehr Gemüse.,Eat more vegetables.,n,das,Gemüse,,
das Wasser,water,DE,health_lifestyle,healthy_living,noun,KS3,Ich trinke viel Wasser.,I drink a lot of water.,n,das,Wasser,,
der Schlaf,sleep,DE,health_lifestyle,healthy_living,noun,KS3,Ich brauche acht Stunden Schlaf.,I need eight hours of sleep.,m,der,Schlaf,,
die Körperpflege,personal hygiene,DE,health_lifestyle,healthy_living,noun,KS3,Körperpflege ist wichtig.,Personal hygiene is important.,f,die,Körperpflege,,
die psychische Gesundheit,mental health,DE,health_lifestyle,healthy_living,noun,KS3,Die psychische Gesundheit ist so wichtig wie die körperliche.,Mental health is as important as physical.,f,die,psychische Gesundheit,,
die frische Luft,fresh air,DE,health_lifestyle,healthy_living,noun,KS3,Ich gehe gerne an die frische Luft.,I like to go out for some fresh air.,f,die,frische Luft,,
gesund,healthy,DE,health_lifestyle,healthy_living,adjective,KS3,Ich fühle mich sehr gesund.,I feel very healthy.,,,gesund,,
fit,fit,DE,health_lifestyle,healthy_living,adjective,KS3,Ich bin fit.,I am fit.,,,fit,,
la pensión,guesthouse,ES,holidays_travel_culture,accommodation,noun,KS3,Me quedo en una pensión pequeña.,I'm staying in a small guesthouse.,f,la,la pensión,,
el camping,camping/campsite,ES,holidays_travel_culture,accommodation,noun,KS3,Vamos de vacaciones al camping.,We're going camping for our holidays.,m,el,el camping,,
el albergue,hostel,ES,holidays_travel_culture,accommodation,noun,KS3,El albergue es muy económico.,The hostel is very cheap.,m,el,el albergue,,
el bungalow,bungalow,ES,holidays_travel_culture,accommodation,noun,KS3,Alquilamos un bungalow cerca de la playa.,We rented a bungalow near the beach.,m,el,el bungalow,,
el hostal,inn,ES,holidays_travel_culture,accommodation,noun,KS3,El hostal está en el centro.,The inn is in the center.,m,el,el hostal,,
la casa rural,country house,ES,holidays_travel_culture,accommodation,noun,KS3,Pasamos el fin de semana en una casa rural.,We spent the weekend in a country house.,fm,la,la casa rural,,
el hotel,hotel,ES,holidays_travel_culture,accommodation,noun,KS3,Nos alojamos en un hotel de lujo.,We stayed in a luxury hotel.,m,el,el hotel,,
el castillo,castle,ES,holidays_travel_culture,accommodation,noun,KS3,Nos gustaría alojarnos en un castillo.,We would like to stay in a castle.,m,el,el castillo,,
la caravana,caravan/RV,ES,holidays_travel_culture,accommodation,noun,KS3,Viajamos en una caravana por Europa.,We travel in a caravan through Europe.,f,la,la caravana,,
la posada,inn/guesthouse,ES,holidays_travel_culture,accommodation,noun,KS3,La posada tiene un ambiente acogedor.,The inn has a welcoming atmosphere.,f,la,la posada,,
el apartamento,apartment,ES,holidays_travel_culture,accommodation,noun,KS3,Alquilamos un apartamento para las vacaciones.,We rented an apartment for the holidays.,m,el,el apartamento,,
el chalet,chalet/detached house,ES,holidays_travel_culture,accommodation,noun,KS3,Tenemos un chalet en la montaña.,We have a chalet in the mountains.,m,el,el chalet,,
la pension,guesthouse,FR,holidays_travel_culture,accommodation,noun,KS3,Je reste dans une petite pension.,I'm staying in a small guesthouse.,f,la,la pension,,
le camping,camping/campsite,FR,holidays_travel_culture,accommodation,noun,KS3,Nous allons en vacances au camping.,We're going camping for our holidays.,m,le,le camping,,
l'auberge,hostel,FR,holidays_travel_culture,accommodation,noun,KS3,L'auberge est très économique.,The hostel is very cheap.,f,l',l'auberge,,
le bungalow,bungalow,FR,holidays_travel_culture,accommodation,noun,KS3,Nous avons loué un bungalow près de la plage.,We rented a bungalow near the beach.,m,le,le bungalow,,
la maison de campagne,country house,FR,holidays_travel_culture,accommodation,noun,KS3,Nous avons passé le week-end dans une maison de campagne.,We spent the weekend in a country house.,f,la,la maison de campagne,,
l'hôtel,hotel,FR,holidays_travel_culture,accommodation,noun,KS3,Nous avons logé dans un hôtel de luxe.,We stayed in a luxury hotel.,m,l',l'hôtel,,
le château,castle,FR,holidays_travel_culture,accommodation,noun,KS3,Nous aimerions loger dans un château.,We would like to stay in a castle.,m,le,le château,,
la caravane,caravan/RV,FR,holidays_travel_culture,accommodation,noun,KS3,Nous voyageons en caravane en Europe.,We travel in a caravan in Europe.,f,la,la caravane,,
l'auberge (fr.),inn/guesthouse,FR,holidays_travel_culture,accommodation,noun,KS3,L'auberge a une ambiance chaleureuse.,The inn has a welcoming atmosphere.,f,l',l'auberge,,
l'appartement,apartment,FR,holidays_travel_culture,accommodation,noun,KS3,Nous avons loué un appartement pour les vacances.,We rented an apartment for the holidays.,m,l',l'appartement,,
le chalet,chalet/detached house,FR,holidays_travel_culture,accommodation,noun,KS3,Nous avons un chalet à la montagne.,We have a chalet in the mountains.,m,le,le chalet,,
die Pension,guesthouse,DE,holidays_travel_culture,accommodation,noun,KS3,Ich übernachte in einer kleinen Pension.,I'm staying in a small guesthouse.,f,die,die Pension,,
der Campingplatz,camping/campsite,DE,holidays_travel_culture,accommodation,noun,KS3,Wir fahren in den Urlaub auf den Campingplatz.,We're going camping for our holidays.,m,der,der Campingplatz,,
die Jugendherberge,hostel,DE,holidays_travel_culture,accommodation,noun,KS3,Die Jugendherberge ist sehr günstig.,The hostel is very cheap.,f,die,die Jugendherberge,,
der Bungalow,bungalow,DE,holidays_travel_culture,accommodation,noun,KS3,Wir haben einen Bungalow in Strandnähe gemietet.,We rented a bungalow near the beach.,m,der,der Bungalow,,
das Gasthaus,inn,DE,holidays_travel_culture,accommodation,noun,KS3,Das Gasthaus ist im Zentrum.,The inn is in the center.,n,das,das Gasthaus,,
das Landhaus,country house,DE,holidays_travel_culture,accommodation,noun,KS3,Wir haben das Wochenende in einem Landhaus verbracht.,We spent the weekend in a country house.,n,das,das Landhaus,,
das Hotel,hotel,DE,holidays_travel_culture,accommodation,noun,KS3,Wir haben in einem Luxushotel übernachtet.,We stayed in a luxury hotel.,n,das,das Hotel,,
die Burg,castle,DE,holidays_travel_culture,accommodation,noun,KS3,Wir möchten in einer Burg übernachten.,We would like to stay in a castle.,f,die,die Burg,,
der Wohnwagen,caravan/RV,DE,holidays_travel_culture,accommodation,noun,KS3,Wir reisen mit einem Wohnwagen durch Europa.,We travel in a caravan through Europe.,m,der,der Wohnwagen,,
der Gasthof,inn/guesthouse,DE,holidays_travel_culture,accommodation,noun,KS3,Der Gasthof hat eine gemütliche Atmosphäre.,The inn has a welcoming atmosphere.,m,der,der Gasthof,,
die Ferienwohnung,apartment (holiday),DE,holidays_travel_culture,accommodation,noun,KS3,Wir haben eine Ferienwohnung für den Urlaub gemietet.,We rented an apartment for the holidays.,f,die,die Ferienwohnung,,
das Chalet,chalet/detached house,DE,holidays_travel_culture,accommodation,noun,KS3,Wir haben ein Chalet in den Bergen.,We have a chalet in the mountains.,n,das,das Chalet,,
España,Spain,ES,holidays_travel_culture,countries,noun,KS3,Me encanta viajar a España.,I love traveling to Spain.,f,la,España,,
México,Mexico,ES,holidays_travel_culture,countries,noun,KS3,México es un país grande.,Mexico is a big country.,m,el,México,,
Argentina,Argentina,ES,holidays_travel_culture,countries,noun,KS3,Argentina es famosa por su tango.,Argentina is famous for its tango.,f,la,Argentina,,
Francia,France,ES,holidays_travel_culture,countries,noun,KS3,París está en Francia.,Paris is in France.,f,la,Francia,,
Italia,Italy,ES,holidays_travel_culture,countries,noun,KS3,La comida de Italia es deliciosa.,Italian food is delicious.,f,la,Italia,,
Alemania,DEy,ES,holidays_travel_culture,countries,noun,KS3,Alemania tiene mucha historia.,DEy has a lot of history.,f,la,Alemania,,
Portugal,Portugal,ES,holidays_travel_culture,countries,noun,KS3,Fuimos a Portugal de vacaciones.,We went to Portugal for holidays.,m,el,Portugal,,
Reino Unido,United Kingdom,ES,holidays_travel_culture,countries,noun,KS3,Londres está en el Reino Unido.,London is in the United Kingdom.,m,el,Reino Unido,,
Estados Unidos,United States,ES,holidays_travel_culture,countries,noun,KS3,Los Estados Unidos son muy grandes.,The United States is very big.,m,los,Estados Unidos,,
Canadá,Canada,ES,holidays_travel_culture,countries,noun,KS3,Canadá es conocido por su naturaleza.,Canada is known for its nature.,m,el,Canadá,,
Brasil,Brazil,ES,holidays_travel_culture,countries,noun,KS3,El carnaval es popular en Brasil.,Carnival is popular in Brazil.,m,el,Brasil,,
China,China,ES,holidays_travel_culture,countries,noun,KS3,China tiene una cultura antigua.,China has an ancient culture.,f,la,China,,
India,India,ES,holidays_travel_culture,countries,noun,KS3,La India es un país vibrante.,India is a vibrant country.,f,la,India,,
Japón,Japan,ES,holidays_travel_culture,countries,noun,KS3,Japón es muy moderno.,Japan is very modern.,m,el,Japón,,
Australia,Australia,ES,holidays_travel_culture,countries,noun,KS3,Australia tiene animales únicos.,Australia has unique animals.,f,la,Australia,,
país,country,ES,holidays_travel_culture,countries,noun,KS3,¿Cuál es tu país favorito?,What is your favorite country?,m,el,país,,
mundo,world,ES,holidays_travel_culture,countries,noun,KS3,Viajar por el mundo es mi sueño.,Traveling the world is my dream.,m,el,mundo,,
France,France,FR,holidays_travel_culture,countries,noun,KS3,J'adore voyager en France.,I love traveling to France.,f,la,France,,
Belgique,Belgium,FR,holidays_travel_culture,countries,noun,KS3,La Belgique est connue pour son chocolat.,Belgium is known for its chocolate.,f,la,Belgique,,
Suisse,Switzerland,FR,holidays_travel_culture,countries,noun,KS3,La Suisse a de belles montagnes.,Switzerland has beautiful mountains.,f,la,Suisse,,
Canada,Canada,FR,holidays_travel_culture,countries,noun,KS3,Le Canada est très grand.,Canada is very big.,m,le,Canada,,
Espagne,Spain,FR,holidays_travel_culture,countries,noun,KS3,L'Espagne est un pays ensoleillé.,Spain is a sunny country.,f,l',Espagne,,
Italie,Italy,FR,holidays_travel_culture,countries,noun,KS3,La cuisine italienne est délicieuse.,Italian cuisine is delicious.,f,l',Italie,,
Allemagne,DEy,FR,holidays_travel_culture,countries,noun,KS3,L'Allemagne a une riche histoire.,DEy has a rich history.,f,l',Allemagne,,
Royaume-Uni,United Kingdom,FR,holidays_travel_culture,countries,noun,KS3,Londres est au Royaume-Uni.,London is in the United Kingdom.,m,le,Royaume-Uni,,
États-Unis,United States,FR,holidays_travel_culture,countries,noun,KS3,Les États-Unis sont très grands.,The United States is very big.,m,les,États-Unis,,
Brésil,Brazil,FR,holidays_travel_culture,countries,noun,KS3,Le Brésil est célèbre pour le football.,Brazil is famous for football.,m,le,Brésil,,
Chine,China,FR,holidays_travel_culture,countries,noun,KS3,La Chine a une longue histoire.,China has a long history.,f,la,Chine,,
Inde,India,FR,holidays_travel_culture,countries,noun,KS3,L'Inde est un pays coloré.,India is a colorful country.,f,l',Inde,,
Japon,Japan,FR,holidays_travel_culture,countries,noun,KS3,Le Japon est très moderne.,Japan is very modern.,m,le,Japon,,
Australie,Australia,FR,holidays_travel_culture,countries,noun,KS3,L'Australie a des animaux uniques.,Australia has unique animals.,f,l',Australie,,
pays,country,FR,holidays_travel_culture,countries,noun,KS3,Quel est ton pays préféré ?,What is your favorite country?,m,le,pays,,
monde,world,FR,holidays_travel_culture,countries,noun,KS3,Voyager autour du monde est mon rêve.,Traveling around the world is my dream.,m,le,monde,,
Deutschland,DEy,DE,holidays_travel_culture,countries,noun,KS3,Ich reise gern nach Deutschland.,I like traveling to DEy.,n,das,Deutschland,,
Österreich,Austria,DE,holidays_travel_culture,countries,noun,KS3,Österreich hat schöne Berge.,Austria has beautiful mountains.,n,das,Österreich,,
Schweiz,Switzerland,DE,holidays_travel_culture,countries,noun,KS3,Die Schweiz ist bekannt für Käse.,Switzerland is known for cheese.,f,die,Schweiz,,
Frankreich,France,DE,holidays_travel_culture,countries,noun,KS3,Paris ist in Frankreich.,Paris is in France.,n,das,Frankreich,,
Spanien,Spain,DE,holidays_travel_culture,countries,noun,KS3,Spanien ist ein sonniges Land.,Spain is a sunny country.,n,das,Spanien,,
Italien,Italy,DE,holidays_travel_culture,countries,noun,KS3,Italienisches Essen ist lecker.,Italian food is delicious.,n,das,Italien,,
Großbritannien,Great Britain,DE,holidays_travel_culture,countries,noun,KS3,London ist in Großbritannien.,London is in Great Britain.,n,das,Großbritannien,,
USA,USA,DE,holidays_travel_culture,countries,noun,KS3,Die USA sind sehr groß.,The USA is very big.,f,die,USA,,
Kanada,Canada,DE,holidays_travel_culture,countries,noun,KS3,Kanada ist für seine Natur bekannt.,Canada is known for its nature.,n,das,Kanada,,
Brasilien,Brazil,DE,holidays_travel_culture,countries,noun,KS3,Brasilien ist berühmt für Fußball.,Brazil is famous for football.,n,das,Brasilien,,
China,China,DE,holidays_travel_culture,countries,noun,KS3,China hat eine alte Kultur.,China has an ancient culture.,n,das,China,,
Indien,India,DE,holidays_travel_culture,countries,noun,KS3,Indien ist ein farbenfrohes Land.,India is a colorful country.,n,das,Indien,,
Japan,Japan,DE,holidays_travel_culture,countries,noun,KS3,Japan ist sehr modern.,Japan is very modern.,n,das,Japan,,
Australien,Australia,DE,holidays_travel_culture,countries,noun,KS3,Australien hat einzigartige Tiere.,Australia has unique animals.,n,das,Australien,,
Land,country,DE,holidays_travel_culture,countries,noun,KS3,Was ist dein Lieblingsland?,What is your favorite country?,n,das,Land,,
Welt,world,DE,holidays_travel_culture,countries,noun,KS3,Die Welt bereisen ist mein Traum.,Traveling the world is my dream.,f,die,Welt,,
français,FR (male),FR,holidays_travel_culture,nationalities,adjective,KS3,Il est français.,He is FR.,m,,français,,
française,FR (female),FR,holidays_travel_culture,nationalities,adjective,KS3,Elle est française.,She is FR.,f,,française,,
italien,Italian (male),FR,holidays_travel_culture,nationalities,adjective,KS3,C'est un acteur italien.,He is an Italian actor.,m,,italien,,
italienne,Italian (female),FR,holidays_travel_culture,nationalities,adjective,KS3,C'est une actrice italienne.,She is an Italian actress.,f,,italienne,,
espagnol,ES (male),FR,holidays_travel_culture,nationalities,adjective,KS3,Mon ami est espagnol.,My friend is ES.,m,,espagnol,,
espagnole,ES (female),FR,holidays_travel_culture,nationalities,adjective,KS3,Ma copine est espagnole.,My girlfriend is ES.,f,,espagnole,,
allemand,DE (male),FR,holidays_travel_culture,nationalities,adjective,KS3,Il parle allemand.,He speaks DE.,m,,allemand,,
allemande,DE (female),FR,holidays_travel_culture,nationalities,adjective,KS3,Elle est allemande.,She is DE.,f,,allemande,,
anglais,English (male),FR,holidays_travel_culture,nationalities,adjective,KS3,Il est anglais.,He is English.,m,,anglais,,
anglaise,English (female),FR,holidays_travel_culture,nationalities,adjective,KS3,Elle est anglaise.,She is English.,f,,anglaise,,
mexicain,Mexican (male),FR,holidays_travel_culture,nationalities,adjective,KS3,C'est un chanteur mexicain.,He is a Mexican singer.,m,,mexicain,,
mexicaine,Mexican (female),FR,holidays_travel_culture,nationalities,adjective,KS3,C'est une artiste mexicaine.,She is a Mexican artist.,f,,mexicaine,,
brésilien,Brazilian (male),FR,holidays_travel_culture,nationalities,adjective,KS3,Le joueur est brésilien.,The player is Brazilian.,m,,brésilien,,
brésilienne,Brazilian (female),FR,holidays_travel_culture,nationalities,adjective,KS3,La danseuse est brésilienne.,The dancer is Brazilian.,f,,brésilienne,,
américain,American (male),FR,holidays_travel_culture,nationalities,adjective,KS3,Il est américain.,He is American.,m,,américain,,
américaine,American (female),FR,holidays_travel_culture,nationalities,adjective,KS3,Elle est américaine.,She is American.,f,,américaine,,
argentin,Argentinian (male),FR,holidays_travel_culture,nationalities,adjective,KS3,C'est un écrivain argentin.,He is an Argentinian writer.,m,,argentin,,
argentine,Argentinian (female),FR,holidays_travel_culture,nationalities,adjective,KS3,C'est une artiste argentine.,She is an Argentinian artist.,f,,argentine,,
canadien,Canadian (male),FR,holidays_travel_culture,nationalities,adjective,KS3,Mon voisin est canadien.,My neighbor is Canadian.,m,,canadien,,
canadienne,Canadian (female),FR,holidays_travel_culture,nationalities,adjective,KS3,Ma voisine est canadienne.,My neighbor is Canadian.,f,,canadienne,,
chinois,Chinese (male),FR,holidays_travel_culture,nationalities,adjective,KS3,C'est un restaurant chinois.,It's a Chinese restaurant.,m,,chinois,,
